,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
3996,0.18090927,0.07345935,0.06393062,0.39051039,0.0528904,0.47619048,0.22222222,0.14285714,0.45548191,0.56516081,0.46835327,0.46101729,0.51819658,0.48953459,0.47139371,0.55179259,0.43439676,0.41169608,0.3810213,0.49980647,0.38385844,0.50270702,0.50040076,0.37670388,0.55093056,0.52825781,0.44402684,0.3085998,-1,1,-1,-1
3997,0.11059913,0.07760055,0.06072896,0.24279494,0.05647353,0.47619048,0.11111111,0.14285714,0.44352262,0.54329896,0.47978546,0.47759878,0.50665106,0.47560389,0.48630124,0.52296063,0.43159534,0.40133949,0.39413447,0.50617605,0.39055294,0.51074254,0.5112582,0.37767055,0.54301545,0.56628816,0.42380883,0.312684,-1,1,-1,-1
3998,0.04814312,0.03723757,0.02098995,0.13673525,0.05713271,0.5,0.0,0.0,0.45242335,0.5550103,0.50552493,0.50798252,0.51859628,0.48863361,0.51240327,0.5367739,0.43173361,0.41010709,0.40790949,0.50035671,0.40345875,0.51269768,0.51446819,0.38835554,0.52024896,0.59611377,0.42089579,0.32076672,-1,1,-1,-1
3999,0.07028944,0.06489429,0.0181432,0.18712721,0.05675954,0.5,0.0,0.0,0.4936706,0.57849396,0.53792928,0.53824949,0.55651861,0.51025158,0.53525379,0.57821938,0.45505353,0.43666276,0.42136329,0.50611238,0.4175706,0.52053334,0.52493985,0.39556915,0.53426876,0.59430488,0.41262924,0.32488519,-1,1,-1,-1
4000,0.15510549,0.09887327,0.03705295,0.33222308,0.06627851,0.47619048,0.11111111,0.14285714,0.47405049,0.56182821,0.52943599,0.52600154,0.52995509,0.49289475,0.52030338,0.55712777,0.4685086,0.44676042,0.43015266,0.50856355,0.42662355,0.52305352,0.53289413,0.39280182,0.53075967,0.60237656,0.40670971,0.32043969,-1,1,-1,-1
4001,0.16356286,0.14644208,0.02203692,0.3537356,0.06210755,0.47619048,0.22222222,0.14285714,0.48393969,0.56165593,0.54139428,0.53250698,0.53364052,0.49264214,0.52956275,0.55322461,0.47831431,0.46323991,0.44983185,0.51636546,0.44493132,0.52862031,0.54717269,0.3988274,0.50660123,0.62008783,0.4358791,0.32934451,-1,1,-1,-1
4002,0.18372234,0.13769052,0.0964885,0.31058974,0.06224356,0.47619048,0.22222222,0.28571429,0.46106631,0.53277815,0.52281261,0.51633254,0.51938616,0.46941776,0.50701334,0.53694164,0.43487195,0.4170336,0.45712635,0.50315394,0.44440901,0.50004528,0.53689076,0.40033504,0.49208461,0.59811567,0.45653105,0.33960584,-1,1,-1,-1
4003,0.2433687,0.14362561,0.16580316,0.35952058,0.05780252,0.47619048,0.22222222,0.28571429,0.45095858,0.50809592,0.49965927,0.49152856,0.50920121,0.456131,0.48074862,0.50690369,0.41450882,0.38994173,0.45424538,0.48888412,0.43141467,0.47910003,0.52356552,0.39360614,0.47457398,0.59162644,0.47649505,0.33364756,-1,1,-1,-1
4004,0.27859498,0.1468139,0.187534,0.4255696,0.04738603,0.47619048,0.22222222,0.28571429,0.42843676,0.48434456,0.46402643,0.45367179,0.47883746,0.44291879,0.45114266,0.47665279,0.38914896,0.38169116,0.43170493,0.4892359,0.41104535,0.46872884,0.50845802,0.38747977,0.47383659,0.57223644,0.47402496,0.31200261,-1,1,-1,-1
4005,0.32274629,0.12807405,0.2219423,0.49119881,0.05237345,0.47619048,0.22222222,0.14285714,0.40568362,0.46089795,0.43971233,0.43079543,0.45623815,0.42958724,0.42553873,0.44703028,0.37330053,0.36773274,0.4218686,0.50329092,0.40068408,0.46289169,0.50825492,0.37914933,0.46776112,0.55323215,0.47768166,0.28231021,-1,1,-1,-1
4006,0.2621691,0.12102294,0.23913441,0.36480794,0.05797219,0.47619048,0.11111111,0.14285714,0.37966517,0.44922793,0.39671992,0.38953363,0.41593625,0.42287169,0.39763192,0.42169892,0.35025476,0.35509811,0.41200858,0.49789949,0.37824671,0.46152794,0.49730019,0.37259163,0.44973682,0.5409316,0.49793365,0.27577331,-1,1,-1,-1
4007,0.27592757,0.12948108,0.29837664,0.34356513,0.06018731,0.5,0.0,0.0,0.38771323,0.45528573,0.39507706,0.38830421,0.41452486,0.43822286,0.40494219,0.43115693,0.35136011,0.36377087,0.39652151,0.48052428,0.35093794,0.43773408,0.46727859,0.38321208,0.44124859,0.52274716,0.52300591,0.28068225,-1,1,-1,-1
4008,0.29207394,0.12865705,0.31808714,0.35084875,0.06657241,0.5,0.0,0.0,0.41909002,0.47115118,0.40732834,0.39272253,0.42025795,0.45412004,0.42289298,0.4382045,0.39241965,0.38745174,0.34458559,0.499846,0.30450778,0.46541684,0.43955683,0.4066144,0.46837344,0.48971789,0.50103056,0.269272,-1,1,-1,-1
4009,0.28121202,0.10522994,0.30813399,0.32862108,0.0803049,0.5,0.0,0.0,0.44149216,0.49636575,0.43541483,0.41640993,0.43059278,0.47529583,0.44972496,0.4561972,0.44473548,0.44508618,0.31979828,0.50306283,0.28962763,0.48399427,0.43302827,0.40604603,0.516538,0.48004358,0.48397225,0.25714127,-1,1,-1,-1
4010,0.28269531,0.0882291,0.33402928,0.30047022,0.09263627,0.5,0.0,0.0,0.44393667,0.51114904,0.44195245,0.4228475,0.42232714,0.48345227,0.45996994,0.46426615,0.46977055,0.46749228,0.30320841,0.48890983,0.27561493,0.4673631,0.41172341,0.41199286,0.52750351,0.48581955,0.46993308,0.25845079,-1,1,-1,-1
4011,0.27834913,0.078903,0.37674647,0.23875665,0.08983761,0.5,0.0,0.0,0.46637744,0.55281071,0.46577821,0.44706171,0.4434313,0.5156603,0.47730642,0.49674776,0.49732175,0.48146888,0.30758447,0.48329522,0.28472628,0.46042026,0.40761297,0.42687955,0.53914254,0.49424253,0.50293497,0.29505257,-1,1,-1,-1
